
id,timestamp,caller_ip,call_path,endpoint_path,method,status_code
02970012-ecce-49ed-ac10-df8ee118f641,2021-04-18 23:59:40.441,74.213.237.121,/v1/events/aa1b9c4b-6506-4f71-9e1a-33772323f0cc,/v1/events/{event_id},GET,200
1e0abc1e-7ca1-4700-8aba-614b2fa18284,2021-04-18 23:59:46.637,74.213.237.121,/auth/facebook,/auth/facebook,GET,302
3f4f2b01-b0cc-4076-aab9-114adc889a79,2021-04-18 23:59:47.655,74.213.237.121,/auth/facebook,/auth/facebook,GET,302
2b568ef3-7a75-4fa7-8750-0a370d9a2828,2021-04-18 23:57:11.986,71.204.151.27,/v1/events,/v1/events,GET,200
80cab61b-ae91-4a4a-9d72-be21d31d17d9,2021-04-18 23:59:48.091,74.213.237.121,/v1/user/profile,/v1/user/profile,GET,200
59846a81-5785-4793-ad12-3be29c4c09aa,2021-04-18 23:59:48.673,74.213.237.121,/v1/events/aa1b9c4b-6506-4f71-9e1a-33772323f0cc,/v1/events/{event_id},GET,200
610d4c59-8e04-4736-a7f6-f8d618c2e64a,2021-04-18 23:59:48.859,74.213.237.121,/v1/events/aa1b9c4b-6506-4f71-9e1a-33772323f0cc/attendees,/v1/events/{event_id}/attendees,GET,200
8317217e-cada-44a6-8239-5afaeb39583a,2021-04-18 23:58:40.308,189.121.203.201,/v1/user/profile,/v1/user/profile,GET,200
fbbc931e-be7b-441f-a2bf-7fd9f9388986,2021-04-18 23:58:41.854,189.121.203.201,/v1/events/9af4bece-ccf1-4ae6-9596-688cfb289950,/v1/events/{event_id},GET,200
b6c07a56-de0a-4945-aead-42d861db814a,2021-04-18 23:58:42.263,189.121.203.201,/v1/events/9af4bece-ccf1-4ae6-9596-688cfb289950/attendees,/v1/events/{event_id}/attendees,GET,200
22d48a6c-4cc9-4229-9d8c-5eccb74519f4,2021-04-18 23:59:03.236,189.121.203.201,/v1/events/9af4bece-ccf1-4ae6-9596-688cfb289950/enter,/v1/events/{event_id}/enter,POST,200
1dc58c99-2594-4821-a354-43d2c7fe5644,2021-04-18 23:59:04.766,189.121.203.201,/v1/services/event-api,/v1/services/event-api,GET,200
3d7a7cea-0b5b-43ad-81c7-ca05f656eaad,2021-04-18 23:59:05.764,0.0.0.0,/nes/auth,/nes/auth,AUTH,200
3db44611-69a2-4965-81b8-f10cfd89422a,2021-04-18 23:59:05.987,0.0.0.0,/v1/server,/v1/server,GET,200
33d27dee-126d-4be1-9eb5-b4221c20b396,2021-04-18 23:59:06.153,0.0.0.0,/v1/user/profile,/v1/user/profile,GET,200
2865760b-9e96-4c12-8748-a88180b5688e,2021-04-18 23:59:06.198,0.0.0.0,/v1/events/9af4bece-ccf1-4ae6-9596-688cfb289950,/v1/events/{event_id},GET,200
30991e23-a060-4b81-b431-2583de9e69d5,2021-04-18 23:59:20.682,0.0.0.0,/v1/events/9af4bece-ccf1-4ae6-9596-688cfb289950/enter,/v1/events/{event_id}/enter,POST,200
4d314f65-c3e4-4ab2-9045-9ada75c7f7e8,2021-03-19 23:58:47.660,67.171.38.1,/v1/events/7c6020c0-78a4-49a8-9827-7f9368345223,/v1/events/{event_id},GET,200
56289e87-6640-45a2-bc54-0cd4cbeb6c4b,2021-03-19 23:58:55.286,67.171.38.1,/auth/facebook,/auth/facebook,GET,302
159d7a2f-8ae7-44dc-8958-985ec3242273,2021-03-19 23:59:00.477,67.171.38.1,/auth/facebook,/auth/facebook,GET,200
fd029319-3b48-4a3b-88ec-dbef55dd140a,2021-03-19 23:59:01.074,67.171.38.1,/auth/facebook,/auth/facebook,GET,302
48897faa-c247-4b2a-9fbf-80f6464e7d59,2021-03-19 23:59:02.401,40.94.226.81,/v1/events/7c6020c0-78a4-49a8-9827-7f9368345223,/v1/events/{event_id},GET,200
0da15fd7-ade8-4308-9b5f-1999596ad4b3,2021-03-19 23:59:23.639,174.225.12.205,/v1/events/0a7257d9-a738-4927-b4e3-42e0f005a515,/v1/events/{event_id},GET,200
d59050bc-0099-4163-8fcd-1ca9061537e3,2021-03-19 23:59:01.415,67.171.38.1,/v1/user/profile,/v1/user/profile,GET,200
e2c36576-98eb-4b2b-89d2-2a8127d0f4b9,2021-03-19 23:59:02.064,67.171.38.1,/v1/events/7c6020c0-78a4-49a8-9827-7f9368345223,/v1/events/{event_id},GET,200
4f848a4e-53d6-4e90-a1df-c3f7ea751f1d,2021-03-19 23:59:02.270,67.171.38.1,/v1/events/7c6020c0-78a4-49a8-9827-7f9368345223/attendees,/v1/events/{event_id}/attendees,GET,200
76d530b1-3f07-4abe-8a87-06da0f507848,2021-02-11 23:52:12.578,128.12.123.53,/auth/linkedin,/auth/linkedin,GET,302
3dca5e81-a953-44a3-9f6f-d699ca5062dd,2021-02-11 23:52:34.986,128.12.123.53,/auth/linkedin,/auth/linkedin,GET,200
300c8db6-04cb-4d0b-a553-501325c56a7e,2021-02-11 23:52:35.738,128.12.123.53,/auth/linkedin,/auth/linkedin,GET,302
41351950-3b21-42cb-a571-6c9696548d79,2021-02-11 23:52:36.333,128.12.123.53,/v1/user/profile,/v1/user/profile,GET,200
cdeabf56-c491-4c3f-8833-23078964f64d,2021-02-11 23:52:55.899,128.12.123.53,/v1/user/profile,/v1/user/profile,PUT,200
